,Point,Coeff,Intercept,R2,2025,2030,2035,2040,2050,2075,2100,yearcoeff_mm,Lat,Long
58,"(29.5, -111.5)",-6.583307644164152e-07,0.524891592050702,0.00020991124105285144,0.5171469889381073,0.515944876962283,0.5147427649864585,0.5135406530106342,0.511135770728221,0.5051245525183348,0.4991133343084485,-0.24029072901199156,29.5,-111.5
106,"(29.5, -56.5)",-6.47663550974106e-07,0.5718341940111176,0.0006972517495259511,0.5642150799974582,0.5630324463533795,0.5618498127093008,0.5606671790652221,0.5583012641135137,0.5523874482295691,0.5464736323456245,-0.23639719610554868,29.5,-56.5
107,"(29.5, -55.5)",-9.034668208824845e-07,0.5671168167633728,0.0013258513456357868,0.5564884330825113,0.5548387026675798,0.5531889722526484,0.5515392418377171,0.5482388775410333,0.5399893219995553,0.5317397664580773,-0.32976538962210683,29.5,-55.5
108,"(29.5, -54.5)",-8.44432942635446e-07,0.5611853659462075,0.001127359234380343,0.5512514568090441,0.5497095222557917,0.5481675877025395,0.5466256531492871,0.5435409396098398,0.5358304224106356,0.5281199052114314,-0.3082180240619378,29.5,-54.5
109,"(29.5, -53.5)",-3.9367936506495206e-07,0.5536682614266432,0.00024320786847276124,0.5490370173760191,0.5483181588554105,0.5475993003348019,0.5468804418141933,0.5454423310936111,0.541847644811203,0.5382529585287948,-0.1436929682487075,29.5,-53.5
119,"(29.5, -57.5)",-2.1974257762356306e-07,0.5759702728244084,8.014445880855091e-05,0.5733852211412448,0.5729839711945042,0.5725827212477635,0.5721814713010229,0.571378751664964,0.5693722821886833,0.5673658127124025,-0.08020604083260052,29.5,-57.5
120,"(29.5, -73.5)",-2.779071144875282e-07,0.6515927747427439,8.145579722285134e-05,0.6483234754479126,0.6478160170568584,0.6473085586658042,0.6468011002747499,0.645785905585527,0.6432483357231414,0.6407107658607558,-0.10143609678794778,29.5,-73.5
121,"(29.5, -75.5)",-7.33911719068423e-07,0.6564265265899114,0.0005235521312454416,0.6477927891267905,0.6464526663277715,0.6451125435287526,0.6437724207297336,0.6410914412199767,0.634390093313163,0.6276887454063491,-0.26787777745997443,29.5,-75.5
128,"(29.5, -74.5)",-6.903696720142029e-07,0.6551061631076517,0.00047542296943203777,0.6469846542860767,0.6457240392649787,0.6444634242438807,0.6432028092227828,0.6406808888109149,0.6343771233357532,0.6280733578605915,-0.25198493028518404,29.5,-74.5
142,"(29.5, -76.5)",-4.124437393781823e-07,0.6469656382522073,0.00016705812276152088,0.6421136501021624,0.6413605278340578,0.6406074055659533,0.6398542832978487,0.6383476263179002,0.6345816025336379,0.6308155787493759,-0.15054196487303653,29.5,-76.5
145,"(30.5, -114.5)",-2.3008575505012197e-06,0.5295733474519436,0.003444149641073646,0.5025060592278473,0.498304693340632,0.4941033274534168,0.4899019615662016,0.4814969289342206,0.46048779864059397,0.43947866834696736,-0.8398130059329452,30.5,-114.5
146,"(30.5, -113.5)",-1.7918309227308515e-06,0.5179633143998709,0.0015769562445628882,0.4968842154248652,0.4936123321599586,0.4903404488950521,0.4870685656301456,0.4805230072694097,0.4641617991139543,0.44780059095849895,-0.6540182867967608,30.5,-113.5
