,Point,Coeff,Intercept,R2,2025,2030,2035,2040,2050,2075,2100,yearcoeff_mm,Lat,Long
172,"(30.5, -124.5)",-3.4904891217764833e-06,0.6954585838766071,0.0401738207471245,0.6543964698480285,0.6480228367116646,0.6416492035753008,0.6352755704389369,0.6225248136770873,0.5906531575061463,0.5587815013352052,-1.2740285294484164,30.5,-124.5
173,"(30.5, -123.5)",-3.931026800034957e-06,0.68438500196951,0.05596429566443162,0.6381404026938988,0.6309623477570351,0.6237842928201711,0.6166062378833073,0.6022461969827796,0.5663519912716604,0.5304577855605412,-1.4348247820127595,30.5,-123.5
174,"(30.5, -122.5)",-4.3322462658884455e-06,0.6717055048317425,0.07510316453616528,0.6207409597598309,0.6128302780783186,0.6049195963968063,0.5970089147152939,0.5811832191060035,0.5416254784521761,0.5020677377983487,-1.5812698870492825,30.5,-122.5
175,"(30.5, -121.5)",-4.5261585361786235e-06,0.6568688744214723,0.08694492856135272,0.603623145401867,0.5953583799148049,0.5870936144277427,0.5788288489406805,0.56229479180802,0.520966438214173,0.479638084620326,-1.6520478657051978,30.5,-121.5
176,"(30.5, -120.5)",-4.482692039166134e-06,0.6400205357908395,0.08251743996786343,0.5872861466420891,0.5791007509785717,0.5709153553150543,0.562729959651537,0.5463546856324631,0.5054232246228372,0.4644917636132112,-1.6361825942956392,30.5,-120.5
177,"(30.5, -119.5)",-4.367790731691953e-06,0.6222291653237284,0.06821378901192521,0.5708464751561043,0.5628708892800347,0.5548953034039652,0.5469197175278957,0.530964177985025,0.4910818808139458,0.4511995836428666,-1.594243617067563,30.5,-119.5
775,"(32.5, -129.5)",1.8824321171853546e-06,0.7070228717062164,0.00985797899265406,0.7291678031327848,0.7326051241787653,0.7360424452247458,0.7394797662707262,0.7463562907948044,0.7635447784568238,0.7807332661188433,0.6870877227726544,32.5,-129.5
776,"(32.5, -128.5)",6.833067138237789e-07,0.6973355616099702,0.001312279028967911,0.7053739817913932,0.7066216998508353,0.7078694179102776,0.7091171359697198,0.7116132553953181,0.7178525289992429,0.7240918026031681,0.2494069505456793,32.5,-128.5
777,"(32.5, -127.5)",-4.738149533380924e-07,0.6875008957407871,0.0006014823157081128,0.6819269366297178,0.6810617505249225,0.6801965644201271,0.6793313783153317,0.6776005322907876,0.6732741279518575,0.6689477236129274,-0.17294245796840374,32.5,-127.5
778,"(32.5, -126.5)",-1.6908020485764085e-06,0.6781597468320614,0.00721438047345102,0.6582691515326085,0.655181746991908,0.6520943424512075,0.6490069379105069,0.6428304380270573,0.6273917245215062,0.611953011015955,-0.6171427477303891,32.5,-126.5
780,"(32.5, -125.5)",-2.9819159645074177e-06,0.6680442293885984,0.022037585098259926,0.6329649699821331,0.6275199914309426,0.6220750128797521,0.6166300343285616,0.6057370953102159,0.5785092206382987,0.5512813459663815,-1.0883993270452075,32.5,-125.5
